gid,player,team,details,pstat,gstat
3999,TW-1750,DET,Elbow,Full Participation in Practice,Probable
3999,LG-0750,SD,Concussion,Full Participation in Practice,Questionable
3999,JT-3450,SD,Forearm,Did Not Participate In Practice,Out
3999,CM-0150,SD,Hamstring,Limited Participation in Practice,Questionable
3999,TW-2650,SD,Foot,Did Not Participate In Practice,Out
3999,JA-2825,SD,Hamstring,Limited Participation in Practice,Questionable
4000,GJ-0800,TB,Illness,Did Not Participate In Practice,Probable
4000,TF-0150,TB,Shoulder,Did Not Participate In Practice,Out
4000,MJ-0900,TB,Hamstring,Did Not Participate In Practice,Questionable
4000,ME-0600,TB,Hamstring,Limited Participation in Practice,Questionable
4000,PC-0800,TEN,Hip,Limited Participation in Practice,Questionable
4000,AG-0250,TEN,Illness,Full Participation in Practice,Probable
4000,SH-1000,TEN,Knee,Did Not Participate In Practice,Out
4000,JM-2800,TEN,Groin,Did Not Participate In Practice,Doubtful
4000,AA-1350,TEN,Hamstring,Limited Participation in Practice,Questionable
4001,JS-2050,CIN,Groin,Did Not Participate In Practice,Questionable
4001,MH-0850,CIN,Knee,Did Not Participate In Practice,Out
4001,EL-0060,CIN,Hamstring,Full Participation in Practice,Probable
4001,AW-1100,CIN,Back,Full Participation in Practice,Probable
4001,CD-2200,CIN,Illness,Full Participation in Practice,Probable
4001,DD-0950,CIN,Groin,Full Participation in Practice,Probable
4001,RN-0300,CIN,Groin,Full Participation in Practice,Probable
4001,MJ-1800,CIN,Knee,Full Participation in Practice,Probable
4001,LH-0300,CIN,Back,Full Participation in Practice,Probable
4001,CW-0225,OAK,Knee,Full Participation in Practice,Probable
4001,JT-3800,OAK,Calf,Full Participation in Practice,Probable
4001,AH-3600,OAK,Hand,Full Participation in Practice,Probable
4001,BM-0750,OAK,Knee,Did Not Participate In Practice,Out
4002,CC-0500,BAL,Not Injury Related,Full Participation in Practice,Probable
4002,DS-2700,BAL,Not Injury Related,Full Participation in Practice,Probable
4002,RM-3850,BAL,Thigh,Limited Participation in Practice,Doubtful
4002,TJ-1025,BAL,Knee,Limited Participation in Practice,Doubtful
4002,BP-0450,BAL,Knee,Did Not Participate In Practice,Out
4002,LT-0050,BAL,Knee,Limited Participation in Practice,Out
4002,KA-0950,DEN,Knee,Did Not Participate In Practice,Out
4002,LM-1020,DEN,Groin,Limited Participation in Practice,Questionable
4002,OB-0150,DEN,Rib cage,Full Participation in Practice,Probable
4002,AC-0100,DEN,Illness,Full Participation in Practice,Probable
4002,BM-0330,DEN,Foot,Full Participation in Practice,Probable
4002,MH-2350,DEN,Finger,Full Participation in Practice,Probable
4003,JH-0860,DAL,Knee,Full Participation in Practice,Probable
4003,DS-4750,DAL,Ankle,Full Participation in Practice,Probable
4003,DM-1400,DAL,Neck,Full Participation in Practice,Probable
4003,AH-3350,DAL,Foot,Full Participation in Practice,Probable
4003,BW-0850,DAL,Concussion,Full Participation in Practice,Probable
4003,DB-5300,DAL,Hamstring,Full Participation in Practice,Probable
4003,TR-0800,DAL,Back,Full Participation in Practice,Probable
4003,ZM-0050,DAL,Neck,Full Participation in Practice,Probable
4003,JM-4950,DAL,Foot,Full Participation in Practice,Probable
4003,JW-3050,DAL,Neck,Full Participation in Practice,Probable
4003,OO-0200,NYG,Foot,Limited Participation in Practice,Probable
4003,VC-0300,NYG,Calf,Did Not Participate In Practice,Out
4003,JC-1800,NYG,Neck,Full Participation in Practice,Probable
4003,JB-2000,NYG,Knee,Did Not Participate In Practice,Out
4003,CJ-0900,NYG,Hamstring,Full Participation in Practice,Probable
4004,RW-2200,ATL,Elbow,Full Participation in Practice,Probable
4004,JM-1450,ATL,Back,Full Participation in Practice,Probable
4004,JB-1550,ATL,Quadricep,Full Participation in Practice,Probable
4004,DF-1875,ATL,Hamstring,Full Participation in Practice,Probable
4004,DH-2700,ATL,Toe,Did Not Participate In Practice,Out
4004,BR-0200,ATL,Groin,Did Not Participate In Practice,Out
4004,RT-0475,ATL,Groin,Full Participation in Practice,Probable
4004,MS-2550,PHI,Hamstring,Full Participation in Practice,Questionable
4004,ZE-0100,PHI,Groin,Full Participation in Practice,Questionable
4005,CF-0850,MIN,Shoulder,Full Participation in Practice,Probable
4005,ZL-0200,MIN,Knee,Full Participation in Practice,Probable
4005,SS-2750,MIN,Knee,Full Participation in Practice,Probable
4005,MP-2350,MIN,Ankle,Full Participation in Practice,Probable
4005,TB-2700,SF,Hamstring,Full Participation in Practice,Probable
4006,DB-5100,DEN,Hip,Full Participation in Practice,Probable
4006,CA-0750,DEN,Ankle,Limited Participation in Practice,Questionable
4006,BM-0330,DEN,Foot,Full Participation in Practice,Probable
4006,DS-4300,DEN,Groin,Limited Participation in Practice,Questionable
4006,DT-0900,DEN,Hand,Full Participation in Practice,Probable
4006,PM-0200,DEN,Back,Full Participation in Practice,Probable
4006,OB-0150,DEN,Foot,Did Not Participate In Practice,Doubtful
4006,MJ-0030,DEN,Head,Limited Participation in Practice,Questionable
4006,KA-0950,DEN,Knee,Did Not Participate In Practice,Out
4006,LM-1020,DEN,Groin,Full Participation in Practice,Probable
4006,DA-0350,KC,Hamstring,Full Participation in Practice,Probable
4006,AW-1650,KC,Shoulder,Full Participation in Practice,Probable
4006,CW-1450,KC,Achilles,Full Participation in Practice,Probable
4006,JM-1600,KC,Achilles,Full Participation in Practice,Probable
4006,JM-0200,KC,Back,Full Participation in Practice,Probable
4006,HA-0200,KC,Quadricep,Full Participation in Practice,Probable
4006,JA-1050,KC,Knee,Full Participation in Practice,Probable
4006,JA-2900,KC,Hip,Full Participation in Practice,Probable
4006,DH-1450,KC,Foot,Full Participation in Practice,Probable
4006,DP-1450,KC,Back,Full Participation in Practice,Probable
4006,DT-0850,KC,Calf,Full Participation in Practice,Probable
4006,EF-0050,KC,Ankle,Full Participation in Practice,Probable
4006,TH-0200,KC,Neck,Full Participation in Practice,Probable
4006,TK-0150,KC,Hip,Full Participation in Practice,Probable
4007,NC-0150,CAR,,Did Not Participate In Practice,
4007,LK-0600,CAR,Concussion,Did Not Participate In Practice,Doubtful
4007,JS-6700,CAR,Knee,Full Participation in Practice,Probable
4007,RB-3100,CAR,Shoulder,Limited Participation in Practice,Questionable
4007,SL-0950,CAR,Foot,Limited Participation in Practice,Questionable
4007,WH-0850,CAR,Shoulder,Limited Participation in Practice,Questionable
4007,DE-0500,CAR,Groin,Full Participation in Practice,Probable
4007,DW-3450,CAR,Knee,Did Not Participate In Practice,Out
4007,CC-4550,HOU,Shoulder,Full Participation in Practice,Probable
4007,XS-0100,HOU,Calf,Did Not Participate In Practice,Out
4007,MM-4000,HOU,Calf,Did Not Participate In Practice,Out
4007,NW-0100,HOU,Abdomen,Full Participation in Practice,Probable
4007,LB-0150,HOU,Knee,Did Not Participate In Practice,Out
4007,JA-0230,HOU,Abdomen,Full Participation in Practice,Probable
4007,AF-0900,HOU,Groin,Limited Participation in Practice,Out
4007,DB-4900,HOU,Hand,Did Not Participate In Practice,Questionable
4007,KJ-0650,HOU,Thigh,Full Participation in Practice,Probable
4007,CT-1025,HOU,Concussion,Full Participation in Practice,Probable
4008,RS-0962,PIT,Knee,Full Participation in Practice,Probable
4008,SS-2450,PIT,Hamstring,Full Participation in Practice,Probable
4008,WA-0100,PIT,Concussion,Full Participation in Practice,Probable
4008,MM-3700,PIT,Hip,Full Participation in Practice,Probable
4008,LJ-1250,PIT,Concussion,Full Participation in Practice,Probable
4008,CA-0600,PIT,Knee,Limited Participation in Practice,Questionable
4008,BB-2530,PIT,Groin,Full Participation in Practice,Probable
4008,BE-0350,SF,Ankle,Did Not Participate In Practice,Questionable
4008,RB-4900,SF,Calf,Did Not Participate In Practice,Out
4009,CS-3400,NO,Knee,Limited Participation in Practice,Questionable
4009,JB-8800,NO,Knee,Did Not Participate In Practice,Out
4009,DE-0600,NO,Toe,Did Not Participate In Practice,Out
4009,KL-0600,NO,Hip,Did Not Participate In Practice,Out
4009,DL-0400,TB,Ankle,Full Participation in Practice,Questionable
4009,BC-0600,TB,Ribs,Full Participation in Practice,Questionable
4009,TF-0150,TB,Shoulder,Did Not Participate In Practice,Out
4009,ME-0600,TB,Hamstring,Limited Participation in Practice,Questionable
4009,MJ-0900,TB,Hamstring,Limited Participation in Practice,Questionable
4009,MW-3600,TB,Abdomen,Did Not Participate In Practice,Out
4010,LW-0050,DET,Elbow,Full Participation in Practice,Probable
4010,LW-0350,DET,Ankle,Full Participation in Practice,Probable
4010,MS-4100,DET,Right Upper Arm,Full Participation in Practice,Probable
4010,DS-2250,DET,Ankle,Limited Participation in Practice,Probable
4010,DL-1200,DET,Hip,Did Not Participate In Practice,Doubtful
4010,HN-0300,DET,Shoulder,Limited Participation in Practice,Questionable
4010,GT-0100,DET,Quadricep,Limited Participation in Practice,Probable
4010,BP-0600,DET,Hamstring,Did Not Participate In Practice,Out
4010,CR-0650,DET,Ankle,Limited Participation in Practice,Questionable
4010,JM-3450,MIN,Ankle,Full Participation in Practice,Probable
4010,SS-2750,MIN,Knee,Full Participation in Practice,Probable
4011,MF-0950,ARI,Hand,Full Participation in Practice,Probable
4011,MI-0200,ARI,Knee,Limited Participation in Practice,Out
4011,TJ-0950,ARI,Hamstring,Limited Participation in Practice,Questionable
4011,TN-0550,ARI,Hamstring,Full Participation in Practice,Probable
4011,JG-3700,ARI,Hamstring,Full Participation in Practice,Probable
4011,AE-0750,ARI,Knee,Did Not Participate In Practice,Out
4011,DB-5450,ARI,Groin,Limited Participation in Practice,Questionable
4011,AJ-0430,CHI,Hamstring,Did Not Participate In Practice,Questionable
4011,JB-8200,CHI,Back,Did Not Participate In Practice,Probable
4011,JB-4550,CHI,Ankle,Did Not Participate In Practice,Out
4011,EF-0010,CHI,Knee,Did Not Participate In Practice,Questionable
4011,TP-2000,CHI,Hamstring,Did Not Participate In Practice,Out
4011,SM-2300,CHI,Thigh,Full Participation in Practice,Probable
4011,SA-0100,CHI,Illness,Full Participation in Practice,Probable
4011,PM-0500,CHI,Wrist,Did Not Participate In Practice,Questionable
4012,TS-3275,BUF,Knee,Did Not Participate In Practice,Out
4012,CG-1700,BUF,Concussion,Full Participation in Practice,Probable
4012,LM-1000,BUF,Hamstring,Limited Participation in Practice,Questionable
4012,PH-0400,BUF,Hip,Full Participation in Practice,Probable
4012,MG-1050,BUF,Ribs,Did Not Participate In Practice,Out
4012,RW-1600,NE,Illness,Did Not Participate In Practice,Out
4012,TW-3250,NE,Quadricep,Full Participation in Practice,Probable
4012,DE-0050,NE,Hip,Limited Participation in Practice,Doubtful
4012,TF-0750,NE,Knee,Full Participation in Practice,Probable
4013,RN-0300,CIN,Groin,Full Participation in Practice,Probable
4013,LH-0300,CIN,,Limited Participation in Practice,
4013,GI-1300,CIN,Ankle,Limited Participation in Practice,Questionable
4013,DK-0750,CIN,Calf,Full Participation in Practice,Probable
4013,AW-1100,CIN,,Limited Participation in Practice,
4013,MH-0850,CIN,Knee,Did Not Participate In Practice,Out
4013,JS-2050,CIN,Groin,Limited Participation in Practice,Questionable
4013,BF-0800,SD,Knee,Full Participation in Practice,Probable
4013,JA-2825,SD,Hamstring,Full Participation in Practice,Probable
4013,JA-0280,SD,Ankle,Did Not Participate In Practice,Doubtful
4013,JJ-3900,SD,Ankle,Did Not Participate In Practice,Doubtful
4013,DF-1250,SD,Ankle,Did Not Participate In Practice,Doubtful
4013,JT-3450,SD,Forearm,Did Not Participate In Practice,Out
4013,CM-0150,SD,Hamstring,Full Participation in Practice,Probable
4013,TW-2650,SD,Foot,Did Not Participate In Practice,Out
4013,KE-0550,SD,Shoulder,Limited Participation in Practice,Questionable
4014,NO-0300,CLE,Back,Full Participation in Practice,Probable
4014,DB-5200,CLE,Shoulder,Limited Participation in Practice,Questionable
4014,DB-3200,CLE,Hamstring,Limited Participation in Practice,Questionable
4014,JB-3550,CLE,Knee,Full Participation in Practice,Probable
4014,JG-1250,CLE,Hip,Limited Participation in Practice,Questionable
4014,JM-0850,CLE,Right Elbow,Full Participation in Practice,Probable
4014,JM-2900,CLE,Concussion,Out (Definitely Will Not Play),Out
4014,JT-1600,CLE,,Full Participation in Practice,
4014,KD-0100,CLE,Foot,Limited Participation in Practice,Questionable
4014,MS-0550,CLE,Thumb,Full Participation in Practice,Probable
4014,RT-1950,CLE,Ankle,Out (Definitely Will Not Play),Out
4014,RS-2800,CLE,,Full Participation in Practice,
4014,SS-2350,CLE,Ankle,Out (Definitely Will Not Play),Out
4014,CR-0875,TEN,Knee,Did Not Participate In Practice,Out
4014,SH-1000,TEN,Knee,Did Not Participate In Practice,Out
4014,AA-1350,TEN,Hamstring,Did Not Participate In Practice,Out
4014,DW-0500,TEN,Hand,Full Participation in Practice,Questionable
4014,JM-2800,TEN,Groin,Did Not Participate In Practice,Doubtful
4015,BR-0200,ATL,Groin,Did Not Participate In Practice,Out
4015,AC-1500,ATL,Thumb,Full Participation in Practice,Probable
4015,JJ-4700,ATL,Hamstring,Full Participation in Practice,Probable
4015,JM-1450,ATL,Back,Full Participation in Practice,Probable
4015,DH-2700,ATL,Toe,Did Not Participate In Practice,Out
4015,WM-1000,ATL,Illness,Full Participation in Practice,Probable
4015,MG-0950,ATL,Elbow,Did Not Participate In Practice,Out
4015,OS-0400,ATL,Hip,Full Participation in Practice,Probable
4015,MK-1700,NYG,Knee,Did Not Participate In Practice,Out
4015,VC-0300,NYG,Calf,Did Not Participate In Practice,Out
4015,DF-0500,NYG,Foot,Did Not Participate In Practice,Out
4015,JB-2000,NYG,Knee,Limited Participation in Practice,Doubtful
4015,OO-0200,NYG,Foot,Did Not Participate In Practice,Out
4015,UU-0100,NYG,Knee,Full Participation in Practice,Probable
4015,EF-0075,NYG,Ankle,Full Participation in Practice,Probable
4016,TM-0650,STL,Thigh,Full Participation in Practice,Questionable
4016,TJ-2250,STL,Concussion,Full Participation in Practice,Probable
4016,DB-0975,STL,Knee,Full Participation in Practice,Probable
4016,CR-0750,STL,Knee,Did Not Participate In Practice,Out
4016,ES-0800,STL,Knee,Did Not Participate In Practice,Out
4016,TG-1950,STL,Knee,Full Participation in Practice,Questionable
4016,JJ-1150,WAS,Thigh,Full Participation in Practice,Questionable
4016,DH-0700,WAS,Rib,Full Participation in Practice,Probable
4016,DJ-0200,WAS,Hamstring,Did Not Participate In Practice,Out
4016,TC-2350,WAS,Calf,Limited Participation in Practice,Questionable
4016,TK-0800,WAS,Rib,Limited Participation in Practice,Questionable
4016,TW-2800,WAS,Ankle,Full Participation in Practice,Probable
4016,JR-1150,WAS,Quadricep,Limited Participation in Practice,Questionable
4016,JR-3100,WAS,Foot,Did Not Participate In Practice,Out
4016,KL-1000,WAS,Finger,Full Participation in Practice,Probable
4016,MS-3450,WAS,Concussion,Did Not Participate In Practice,Out
4017,SM-0500,JAC,Knee,Did Not Participate In Practice,Out
4017,TG-0600,JAC,Abdomen,Did Not Participate In Practice,Doubtful
4017,JT-2000,JAC,Hand,Limited Participation in Practice,Out
4017,LJ-0750,JAC,Ankle,Did Not Participate In Practice,Questionable
4017,ML-0650,JAC,Hamstring,Limited Participation in Practice,Probable
4017,DG-2450,JAC,Ankle,Did Not Participate In Practice,Out
4017,JC-6400,JAC,Finger,Did Not Participate In Practice,Doubtful
4017,JE-1200,JAC,Illness,Full Participation in Practice,Probable
4017,AC-2250,JAC,,Full Participation in Practice,
4017,AB-2730,JAC,Knee,Did Not Participate In Practice,Out
4017,AR-1250,JAC,,Full Participation in Practice,
4017,RG-1812,JAC,Back,Full Participation in Practice,Probable
4017,TA-0825,JAC,Back,Limited Participation in Practice,Questionable
4017,TY-0150,JAC,,Full Participation in Practice,
4017,RJ-2000,MIA,Hamstring,Limited Participation in Practice,Questionable
4017,OV-0200,MIA,Ankle,Limited Participation in Practice,Probable
4017,DS-1760,MIA,Eye,Limited Participation in Practice,Questionable
4017,DS-2170,MIA,Concussion,Did Not Participate In Practice,Out
4017,CW-0100,MIA,Hamstring,Limited Participation in Practice,Questionable
4018,LT-0050,BAL,Knee,Full Participation in Practice,Probable
4018,BP-0450,BAL,Knee,Did Not Participate In Practice,Out
4018,TJ-1025,BAL,Knee,Full Participation in Practice,Probable
4018,RM-3850,BAL,Thigh,Limited Participation in Practice,Questionable
4018,EM-1300,BAL,Concussion,Did Not Participate In Practice,Out
4018,DS-2700,BAL,Not Injury Related,Full Participation in Practice,Probable
4018,JF-2800,BAL,Shoulder,Full Participation in Practice,Probable
4018,CC-0500,BAL,Not Injury Related,Full Participation in Practice,Probable
4018,DW-0675,BAL,Ankle,Limited Participation in Practice,Questionable
4018,JO-0550,OAK,Ankle,Did Not Participate In Practice,Out
4018,BM-0750,OAK,Knee,Did Not Participate In Practice,Out
4018,DC-0725,OAK,Right Hand,Full Participation in Practice,Probable
4018,CW-3700,OAK,Shoulder,Limited Participation in Practice,Questionable
4018,JE-0450,OAK,Ankle,Did Not Participate In Practice,Out
4019,RL-0350,DAL,Groin,Did Not Participate In Practice,Doubtful
4019,TR-0800,DAL,Back,Full Participation in Practice,Probable
4019,JH-0860,DAL,Knee,Did Not Participate In Practice,Questionable
4019,DB-5300,DAL,Foot,Did Not Participate In Practice,Out
4019,LW-1150,DAL,Not Injury Related,Did Not Participate In Practice,Probable
4019,RG-1825,DAL,Ankle,Did Not Participate In Practice,Out
4019,MS-2550,PHI,Hamstring,Full Participation in Practice,Probable
4019,SA-0500,PHI,Concussion,Did Not Participate In Practice,Out
4020,BB-3700,GB,Knee,Did Not Participate In Practice,Out
4020,JE-0350,GB,Quadricep,Limited Participation in Practice,Probable
4020,MB-5100,GB,Calf,Limited Participation in Practice,Questionable
4020,RC-1500,GB,Shoulder,Limited Participation in Practice,Probable
4020,TS-1650,SEA,Toe,Limited Participation in Practice,Questionable
4020,WT-0400,SEA,Foot,Limited Participation in Practice,Questionable
4020,ML-2500,SEA,Not Injury Related,Full Participation in Practice,Probable
4020,MM-5200,SEA,Hamstring,Out (Definitely Will Not Play),Out
4020,MB-1900,SEA,Ankle,Full Participation in Practice,Probable
4020,GG-0335,SEA,Rib,Limited Participation in Practice,Questionable
4020,BI-0150,SEA,Rib,Limited Participation in Practice,Questionable
4020,BW-0150,SEA,Ankle,Full Participation in Practice,Probable
4020,DD-1800,SEA,Back,Full Participation in Practice,Probable
4021,DS-2350,IND,,Did Not Participate In Practice,
4021,DB-6100,IND,Hip,Did Not Participate In Practice,Out
4021,BW-0920,IND,Knee,Full Participation in Practice,Probable
4021,GT-0300,IND,Neck,Limited Participation in Practice,Out
4021,DJ-0500,IND,Toe,Full Participation in Practice,Probable
4021,JN-1350,IND,Hamstring,Did Not Participate In Practice,Questionable
4021,TH-1500,IND,Shoulder,Full Participation in Practice,Probable
4021,TH-1850,IND,Knee,Limited Participation in Practice,Questionable
4021,RM-1400,IND,Achilles,Limited Participation in Practice,Questionable
4021,DS-3031,NYJ,Ribs,Full Participation in Practice,Probable
4021,LM-0550,NYJ,Concussion,Did Not Participate In Practice,Out
4021,GS-1050,NYJ,Jaw,Limited Participation in Practice,Out
4021,JC-1000,NYJ,Back,Limited Participation in Practice,Probable
4021,JJ-1100,NYJ,Shoulder,Limited Participation in Practice,Probable
4021,DW-0700,NYJ,Hamstring,Did Not Participate In Practice,Doubtful
4021,CI-0300,NYJ,Groin,Limited Participation in Practice,Questionable
4021,BQ-0200,NYJ,Finger,Full Participation in Practice,Probable
4021,BG-0500,NYJ,Biceps,Full Participation in Practice,Probable
4021,AC-2400,NYJ,Knee,Limited Participation in Practice,Questionable
