pid,rb,te,drp,mbt,yac
697377,1,1,0,0,8
697378,1,1,0,0,0
697380,2,2,0,0,0
697381,1,1,0,0,0
697382,1,1,0,0,0
697384,1,1,0,3,0
697385,1,2,0,0,0
697386,1,2,0,1,35
697389,1,2,0,0,0
697390,2,1,0,0,0
697392,1,1,0,0,4
697393,1,1,0,0,4
697394,1,2,0,0,0
697395,1,1,0,0,0
697396,2,1,0,0,0
697397,1,1,0,2,18
697398,2,1,0,1,0
697399,2,1,0,0,0
697400,2,1,0,0,0
697401,2,1,0,0,0
697404,1,1,0,0,0
697405,1,1,0,1,0
697406,1,1,0,0,10
697407,1,1,0,1,2
697408,1,0,0,0,0
697409,2,1,0,0,2
697410,0,1,1,0,0
697411,1,1,0,0,0
697412,1,1,0,0,0
697414,1,1,0,0,0
697415,1,1,0,0,0
697416,1,1,0,0,3
697417,1,1,0,0,0
697418,1,1,0,0,0
697419,1,1,0,2,0
697420,1,1,0,0,0
697421,1,1,0,0,0
697422,1,1,0,0,0
697423,1,1,0,0,0
697425,1,1,0,0,0
697426,1,0,0,0,0
697427,1,1,1,0,0
697429,1,1,0,0,0
697430,1,1,0,0,0
697431,1,1,0,1,0
697432,1,1,0,0,0
697433,1,1,0,0,0
697435,1,2,0,0,0
697436,1,2,0,0,2
697437,1,2,0,0,0
697439,2,1,0,0,5
697440,1,1,0,1,0
697441,1,1,0,0,0
697442,1,2,0,0,0
697443,1,2,0,0,0
697444,1,1,0,0,0
697445,1,1,0,0,0
697447,1,2,0,0,0
697448,1,1,0,0,0
697449,1,2,0,0,0
697451,1,2,0,0,0
697452,1,2,0,1,0
697453,1,1,0,0,0
697455,1,1,1,0,0
697456,1,1,0,0,10
697457,1,1,0,0,0
697458,1,1,0,0,3
697459,1,1,0,0,0
697460,1,1,0,0,4
697461,1,1,0,0,0
697462,1,1,0,0,0
697463,1,1,0,0,0
697465,2,1,0,1,8
697466,1,1,0,1,0
697467,1,1,0,0,0
697470,1,1,1,0,0
697472,1,1,0,0,0
697473,1,1,0,2,0
697475,2,2,0,0,0
697476,1,1,0,0,0
697477,1,3,0,0,0
697478,2,2,0,2,0
697479,2,2,0,0,0
697480,1,2,0,0,0
697481,1,2,0,0,0
697482,1,2,0,0,0
697484,1,1,0,1,0
697485,1,1,0,0,1
697486,1,2,0,0,3
697487,1,2,0,0,0
697488,1,1,0,3,0
697489,1,1,0,0,0
697490,2,0,0,0,0
697491,2,1,0,0,0
697492,2,1,0,0,3
697493,2,1,0,0,0
697494,1,1,0,0,0
697495,1,1,0,0,1
697496,1,1,0,0,0
697499,2,1,0,0,0
697500,2,3,0,0,0
697504,1,1,0,0,-2
697506,1,1,0,0,0
697507,1,1,0,0,0
697509,2,1,0,0,0
697510,2,1,0,0,0
697511,1,1,0,0,2
697512,1,2,0,0,0
697513,1,1,0,1,0
697514,1,2,0,0,0
697515,1,2,0,0,0
697516,0,1,0,0,0
697517,2,1,0,0,0
697518,0,2,0,0,0
697519,1,1,0,0,8
697520,1,1,0,0,0
697521,1,2,0,0,0
697522,1,1,0,1,0
697524,1,1,0,0,0
697525,1,0,0,0,0
697526,1,1,1,0,0
697529,0,1,0,0,0
697530,2,1,0,0,0
697531,1,1,0,0,0
697532,1,2,0,0,0
697533,1,1,0,0,0
697534,1,1,0,0,0
697536,1,1,0,0,0
697537,1,1,0,0,2
697538,0,1,0,0,0
697539,1,2,0,2,0
697540,1,2,0,0,0
697541,1,1,0,0,0
697542,1,1,0,0,0
697543,1,2,0,0,0
697544,2,2,0,0,0
697545,1,0,0,0,0
697548,1,1,0,0,2
697549,1,1,0,0,0
697550,1,1,0,0,0
697551,1,1,0,0,0
697553,1,1,1,0,0
697554,1,1,0,0,0
697555,1,1,0,0,0
697557,1,1,0,0,0
697559,1,1,0,0,6
697560,1,1,0,0,0
697563,2,2,0,0,0
697565,2,1,0,0,0
697566,2,1,0,0,0
697567,1,1,0,0,2
697569,1,1,0,0,0
697570,1,1,0,0,0
697571,1,1,0,0,0
697574,2,1,0,0,0
697575,2,1,0,0,0
697576,1,1,0,0,0
697578,1,1,0,0,0
697579,1,1,0,0,0
697580,1,1,0,0,0
697582,1,1,0,0,0
697583,1,2,0,0,0
697584,1,2,0,0,0
697585,1,1,0,0,0
697587,1,2,0,0,0
697588,1,1,0,0,0
697589,1,0,0,0,0
697590,1,1,0,0,0
697591,1,2,0,0,0
697592,0,1,0,0,0
697594,1,1,0,0,0
697595,1,1,0,0,0
697596,1,1,0,0,0
697598,1,1,0,0,0
697599,1,1,0,0,1
697600,1,0,0,2,20
697602,1,2,0,1,0
697603,1,2,0,1,0
697604,1,3,0,0,0
697605,1,1,0,0,0
697606,1,1,0,0,0
697607,1,1,0,0,22
697610,1,2,0,0,0
697611,1,2,0,0,0
697612,1,1,0,0,2
697613,1,1,0,0,0
697614,1,1,0,0,8
697615,1,1,0,0,0
697617,1,1,0,0,0
697618,1,1,0,0,0
697619,1,0,0,0,0
697620,1,2,0,0,0
697621,1,2,0,0,0
697622,1,1,1,0,0
697625,1,1,0,0,0
697626,1,1,0,0,0
697627,1,1,0,0,0
697629,2,2,0,0,0
697630,2,2,0,0,0
697631,1,1,0,0,0
697632,2,2,0,1,0
697633,2,1,0,0,0
697634,1,1,0,0,0
697636,1,1,0,0,1
697637,1,1,0,0,0
697638,1,1,0,0,5
697639,1,1,0,0,2
697640,1,1,0,0,0
697641,1,1,0,0,0
697642,1,1,0,0,0
697643,1,1,0,0,0
697644,2,2,0,0,0
697646,2,1,0,0,0
697647,1,2,0,0,0
697649,1,0,0,0,0
697651,1,1,0,1,10
697652,1,1,0,1,0
697653,1,1,0,0,0
697654,1,0,0,0,0
697655,1,1,0,0,2
697656,1,2,0,3,0
697657,1,1,0,0,0
697658,1,1,0,0,10
697659,1,0,0,0,0
697661,1,1,0,0,0
697664,1,1,0,0,17
697665,2,1,0,0,0
697666,0,1,0,0,0
697667,1,1,0,0,0
697668,1,1,0,1,27
697669,1,1,0,0,0
697670,1,1,0,0,0
697672,1,1,1,0,0
697673,1,1,0,0,0
697674,1,1,0,0,0
697676,1,1,0,0,0
697677,1,1,0,2,33
697678,1,2,0,0,0
697679,1,2,0,0,0
697680,1,1,0,0,0
697683,1,2,0,0,0
697684,1,1,0,0,5
697685,1,1,0,0,0
697687,1,0,0,0,0
697688,1,0,0,0,0
697690,1,2,0,0,0
697691,1,2,0,0,0
697692,1,1,0,1,16
697693,1,1,0,0,5
697696,1,1,0,0,0
697697,1,1,1,0,0
697699,1,0,1,0,0
697700,1,0,0,2,0
697701,1,2,0,0,0
697704,1,2,0,0,0
697705,1,1,0,0,0
697706,1,1,0,0,0
697708,1,1,0,0,0
697709,1,0,0,1,0
697710,1,1,0,0,0
697711,1,1,0,0,0
697712,1,1,0,0,6
697713,1,1,0,1,0
697714,1,1,0,0,1
697715,1,0,0,0,0
697718,1,1,0,1,11
697719,1,1,0,0,9
697720,1,1,0,0,0
697721,1,1,0,0,2
697722,1,1,0,0,12
697723,1,1,0,0,0
697725,1,1,0,0,0
697726,1,1,0,0,0
697727,1,1,0,0,0
697728,1,1,0,0,1
697729,1,1,0,0,0
697732,1,1,0,1,0
697733,1,0,0,0,2
697734,1,1,0,0,0
697735,1,0,0,0,0
697736,1,1,0,0,0
697739,1,1,0,0,0
697740,1,1,0,0,0
697741,1,1,0,0,2
697743,1,1,0,0,0
697744,1,0,0,1,22
697745,1,1,0,0,0
697746,1,1,0,0,11
697747,1,1,0,0,0
697749,1,2,0,0,29
697750,1,2,0,0,0
697751,1,1,0,0,0
697752,1,1,0,0,10
697753,1,1,0,0,0
697754,1,1,0,0,0
697755,1,1,0,0,0
697756,1,1,0,0,0
697757,1,1,0,3,0
697760,1,2,0,1,0
697761,1,2,0,0,0
697762,1,1,0,1,0
697763,1,1,0,0,0
697764,1,1,0,0,0
697765,1,0,0,1,0
697766,1,1,0,0,0
697767,1,2,0,2,0
697768,1,1,0,0,0
697769,2,3,0,0,0
697770,1,1,0,0,0
697773,1,1,0,1,0
697774,1,1,0,0,3
697775,1,1,0,1,0
697776,1,1,0,0,0
697777,1,1,0,0,0
697780,1,1,0,0,0
697781,1,1,0,0,10
697782,1,2,0,0,0
697783,1,1,0,0,0
697784,1,1,0,0,6
697785,1,1,0,0,0
697786,1,1,0,1,4
697787,1,0,0,0,0
697790,1,1,0,0,5
697791,1,1,0,1,0
697792,1,1,0,2,7
697793,1,1,0,2,0
697794,1,1,0,1,7
697795,1,1,0,1,0
697796,1,1,0,0,0
697797,1,1,0,1,7
697800,1,0,1,0,0
697801,1,0,0,0,0
697802,1,0,0,0,0
697803,0,0,0,0,0
697805,1,1,0,0,0
697806,1,1,0,0,0
697808,1,1,1,0,0
697809,1,1,0,0,0
697810,1,2,0,0,11
697811,1,0,0,0,0
697812,1,2,0,0,12
697813,1,2,0,0,0
697814,0,1,0,0,0
697817,2,1,1,0,0
697818,2,1,0,0,0
697819,2,1,0,0,0
697821,1,2,0,0,0
697822,1,1,0,0,0
697824,1,1,0,0,0
697825,1,3,0,0,0
697827,1,1,0,0,0
697829,1,1,0,0,0
697830,1,1,0,0,0
697831,1,1,0,0,0
697833,1,2,0,1,0
697834,1,1,0,0,0
697835,1,1,0,0,0
697836,1,1,0,0,0
697837,1,2,0,0,0
697839,2,1,0,0,10
697840,1,2,0,0,0
697841,1,1,1,0,0
697842,1,1,0,0,0
697843,1,2,0,0,10
697844,1,1,0,0,0
697845,1,1,0,0,0
697846,1,2,0,0,0
697849,1,2,0,0,0
697850,1,2,1,0,0
697851,1,1,0,0,18
697853,1,1,0,0,0
697854,1,1,0,0,0
697855,0,0,0,0,0
697857,2,2,0,0,0
697860,1,2,0,0,0
697861,1,2,0,0,0
697862,1,1,0,0,0
697864,1,2,0,0,0
697865,2,1,0,0,0
697866,2,1,0,0,0
697867,1,1,0,1,9
697868,1,1,0,1,0
697869,1,2,0,0,0
697870,1,1,0,0,0
697871,1,2,0,0,0
697872,1,1,0,0,0
697873,1,1,0,0,0
697874,1,1,0,0,4
697875,1,1,0,0,2
697876,1,1,0,0,1
697877,1,1,0,1,20
697878,1,1,0,0,0
697879,2,0,0,0,0
697880,1,1,1,0,0
697883,1,1,0,0,0
697884,1,1,0,0,0
697885,1,1,0,0,0
697886,1,1,0,1,14
697888,1,1,0,0,7
697889,1,1,0,0,0
697890,1,1,0,0,0
697891,1,1,0,0,0
697894,1,1,0,0,0
697895,1,1,0,0,0
697896,1,1,0,0,0
697897,1,3,0,0,0
697899,1,1,1,0,0
697900,1,1,0,0,1
697902,1,1,0,0,0
697904,1,3,0,0,0
697905,0,1,0,0,5
697906,1,1,0,1,0
697907,1,1,0,0,3
697908,1,1,0,0,0
697909,0,1,0,0,0
697910,1,1,1,0,0
697911,0,1,0,0,0
697912,1,1,0,0,2
697915,1,1,0,0,0
697916,1,3,0,0,0
697918,1,2,0,0,0
697919,1,1,0,0,0
697921,1,2,0,0,2
697922,1,2,0,0,0
697923,1,0,0,0,0
697924,1,1,0,0,0
697925,1,1,0,0,0
697926,1,1,0,0,0
697928,2,1,0,0,3
697929,1,1,0,0,0
697930,1,1,0,0,0
697933,1,1,0,0,0
697934,1,1,0,1,0
697935,1,1,0,0,15
697937,1,1,1,0,0
697938,1,3,0,0,0
697939,1,1,0,1,0
697941,1,1,0,0,4
697942,1,1,0,1,0
697943,1,1,0,0,0
697944,1,0,0,0,0
697945,1,1,0,0,0
697946,1,2,0,0,0
697947,1,1,0,0,5
697950,1,1,0,0,0
697952,1,1,0,0,0
697953,1,1,0,0,0
697954,1,1,0,0,0
697955,1,1,1,0,0
697956,1,3,0,0,0
697957,1,2,0,0,0
697958,2,3,0,0,0
697959,2,3,0,0,0
697961,2,3,0,0,0
697964,1,1,0,0,0
697965,1,1,0,0,0
697966,1,1,0,0,0
697968,1,2,0,0,0
697969,1,2,0,0,0
697970,1,2,0,0,0
697971,1,1,0,0,0
697972,1,1,0,0,0
697973,1,1,0,0,0
697974,1,1,0,0,0
697975,1,1,0,0,1
697976,1,1,0,1,0
697978,1,1,0,0,0
697979,1,1,0,0,0
697982,1,3,0,0,0
697983,1,2,0,0,0
697986,1,2,0,0,10
697987,1,1,0,1,0
697988,1,1,0,0,4
697989,1,1,0,0,0
697991,1,1,0,0,0
697992,1,1,0,0,0
697993,1,1,0,0,0
697995,1,1,0,1,41
697996,1,2,0,0,0
697997,1,1,0,1,0
698000,2,3,0,0,0
698001,2,3,0,0,0
698002,1,1,1,0,0
698004,1,1,0,0,0
698005,1,1,0,0,0
698006,1,1,0,0,2
698008,2,0,0,0,0
698009,1,1,0,0,0
698011,1,1,0,0,0
698014,1,1,0,0,0
698015,1,1,1,0,0
698016,0,2,0,1,10
698017,1,1,0,0,1
698018,1,1,0,0,3
698019,1,1,0,0,0
698020,1,2,0,0,11
698021,1,1,0,0,0
698022,1,1,0,2,0
698023,1,3,0,0,0
698024,1,1,0,0,5
698027,1,1,0,0,0
698028,1,1,0,0,0
698029,1,1,0,0,0
698030,1,1,0,0,0
698031,1,1,0,0,6
698032,1,1,0,0,7
698033,1,1,0,2,20
698034,1,1,0,0,0
698035,1,1,0,0,0
698038,1,2,0,0,0
698039,1,1,0,0,7
698040,1,1,0,0,1
698041,1,1,0,0,5
698042,1,1,0,0,0
698043,1,1,0,0,0
698044,1,1,0,0,0
698048,1,1,0,0,5
698049,1,1,0,0,6
698050,1,1,0,0,0
698051,1,1,0,0,0
698052,1,1,0,0,0
698055,2,2,0,0,0
698058,1,1,0,0,0
698059,1,1,0,0,4
698060,1,1,0,0,0
698061,1,1,0,0,0
698062,1,1,0,0,0
698063,1,1,0,0,0
698064,1,1,0,0,0
698065,1,1,0,0,0
698066,1,1,0,0,0
698067,1,1,0,1,2
698068,1,1,0,0,0
698069,1,1,0,0,0
698072,1,2,0,0,0
698073,1,1,0,0,0
698074,1,1,0,0,23
698075,1,1,0,0,0
698076,1,1,0,2,0
698077,1,1,0,0,0
698078,1,1,0,0,0
698079,1,3,0,0,0
698080,1,1,0,0,0
698083,1,1,0,0,0
698084,1,1,0,0,4
698086,1,1,0,0,0
698087,1,1,0,1,0
698088,0,1,0,0,6
698089,0,1,0,0,0
698090,0,1,0,0,0
698092,2,0,0,0,0
698093,2,0,0,1,0
698094,2,0,0,0,0
698095,2,0,0,0,0
698097,1,1,0,0,0
698098,1,1,0,0,0
698099,1,1,0,0,0
698100,1,1,0,0,0
698103,1,1,0,0,0
698104,1,1,0,0,8
698105,1,2,0,0,0
698106,1,1,0,0,0
698107,1,1,0,0,0
698108,0,2,0,0,0
698109,1,2,0,0,0
698110,1,1,1,0,0
698111,1,1,0,0,0
698112,1,1,0,0,5
698113,1,2,0,0,0
698114,1,1,0,0,0
698116,1,1,0,0,0
698119,1,1,0,0,0
698120,1,1,0,0,0
698122,1,1,0,0,0
698124,1,2,0,0,5
698125,1,2,0,0,0
698126,1,2,0,0,0
698127,1,1,0,0,2
698130,1,2,0,0,2
698131,1,1,0,0,4
698132,1,1,0,0,0
698133,1,1,0,0,6
698134,1,1,1,0,0
698135,1,1,0,1,2
698136,2,2,0,0,0
698138,3,1,0,0,0
698139,2,1,0,0,0
698140,1,1,0,0,0
698141,2,1,0,0,0
698142,0,3,0,0,3
698143,1,2,0,1,0
698144,1,2,0,0,0
698145,2,1,0,0,0
698146,1,1,0,0,0
698148,2,1,0,0,0
698149,2,1,0,0,6
698150,1,1,0,0,0
698152,1,2,0,0,0
698153,3,1,0,4,30
698154,1,2,0,0,0
698155,1,2,0,0,0
698156,1,2,0,0,0
698157,1,3,0,0,0
698158,1,1,0,0,0
698161,1,2,0,1,4
698162,1,2,0,0,0
698163,1,2,0,0,0
698164,2,2,0,0,0
698165,1,2,0,0,0
698166,1,1,0,1,4
698167,1,1,0,0,0
698168,1,1,0,0,13
698169,1,1,0,0,0
698170,1,1,0,0,0
698171,2,2,0,0,0
698172,1,1,0,0,0
698173,1,1,0,0,0
698175,1,1,0,1,0
698177,2,2,0,0,0
698178,2,2,0,0,7
698179,1,1,0,0,12
698180,1,2,0,0,0
698182,1,1,0,0,0
698183,2,2,0,0,0
698185,2,2,0,0,0
698186,2,2,0,0,3
698187,1,1,1,0,0
698189,1,0,0,0,0
698190,1,1,0,0,5
698192,1,1,0,0,0
698193,1,1,0,0,0
698194,1,1,0,0,6
698195,1,1,0,0,0
698196,1,1,0,0,10
698197,1,1,0,0,0
698198,1,1,0,0,0
698199,1,1,0,0,0
698200,1,1,1,0,0
698201,1,1,0,0,0
698202,1,1,0,0,0
698203,2,2,0,0,0
698204,3,1,0,0,7
698207,1,1,1,0,0
698208,1,1,0,0,0
698209,1,1,0,0,0
698210,1,1,0,0,0
698211,1,1,0,0,6
698212,1,1,0,0,0
698213,1,1,0,0,2
698216,2,1,0,0,0
698217,1,3,0,0,0
698218,1,1,0,0,0
698221,1,2,0,0,0
698222,1,2,0,0,0
698223,2,2,0,0,0
698225,2,2,0,0,0
698226,1,1,0,0,0
698227,2,1,0,0,0
698228,2,1,0,0,2
698229,1,1,0,0,0
698230,1,1,0,0,0
698231,1,1,0,2,0
698232,1,1,1,0,0
698233,2,1,0,0,0
698234,1,1,0,1,0
698237,2,1,0,0,0
698238,0,3,0,0,2
698239,1,1,0,0,7
698240,1,1,0,0,0
698241,1,1,0,0,0
698242,1,1,0,0,2
698243,1,1,0,0,0
698244,1,1,0,0,0
698248,1,2,0,0,0
698249,1,1,1,0,0
698250,0,2,1,0,0
698252,1,2,0,0,0
698253,1,2,0,0,0
698254,1,1,0,0,1
698255,1,3,0,0,0
698256,1,1,0,0,0
698257,2,2,0,0,15
698258,2,2,0,0,0
698259,1,2,0,0,0
698260,1,1,0,0,0
698263,1,2,0,0,0
698266,1,2,0,0,0
698267,2,1,0,0,0
698268,1,1,0,0,0
698269,1,1,0,0,0
698270,1,1,0,0,0
698271,1,1,0,0,0
698273,1,2,0,0,0
698274,2,1,0,0,0
698275,1,1,0,0,0
698277,2,2,0,0,0
698278,2,2,0,1,0
698279,1,1,0,0,5
698280,1,3,0,0,0
698281,1,3,0,0,0
698282,1,3,0,0,0
698285,1,1,0,0,2
698286,1,1,0,0,0
698287,1,1,0,0,0
698288,2,1,0,1,14
698289,1,1,0,0,0
698291,1,1,0,0,0
698292,1,1,0,0,0
698293,1,1,0,0,0
698294,1,1,0,0,0
698297,2,3,0,0,0
698299,1,2,0,0,0
698300,1,1,1,0,0
698301,1,1,0,0,0
698303,0,1,0,0,7
698304,2,0,0,0,0
698305,2,0,0,0,1
698308,1,2,1,0,0
698309,1,2,0,0,7
698310,2,1,0,0,0
698311,2,1,0,1,0
698312,0,2,0,0,0
698313,1,1,0,0,0
698314,1,1,0,0,11
698315,2,2,0,0,0
698316,2,1,0,0,25
698317,1,1,0,0,0
698318,1,1,0,0,0
698319,1,1,0,0,0
698322,1,1,0,0,0
698324,1,1,0,0,7
698325,0,1,0,0,2
698326,1,1,0,0,20
698327,1,0,0,0,0
698328,1,3,0,0,7
698329,1,1,0,1,0
698332,1,1,0,0,0
698333,0,1,0,0,0
698334,2,1,0,0,0
698335,2,1,0,0,0
698336,0,1,0,0,23
698337,2,1,0,0,2
698338,1,1,0,0,0
698339,1,1,0,0,2
698341,2,1,0,0,0
698345,1,1,0,0,0
698346,0,0,0,0,0
698347,2,0,0,2,0
698348,2,1,0,1,0
698349,1,1,0,0,0
698350,1,0,0,0,0
698352,2,1,0,0,0
698353,0,1,0,0,4
698354,1,1,0,0,0
698355,1,1,0,0,0
698356,2,0,0,0,0
698357,2,0,0,0,2
698358,1,1,0,0,20
698359,0,1,0,0,0
698362,1,1,0,0,0
698363,1,1,0,0,0
698365,2,0,0,0,7
698367,2,1,0,0,0
698368,1,1,0,0,0
698369,1,1,0,0,0
698370,1,1,1,0,0
698372,1,1,1,0,0
698373,1,1,0,1,6
698374,1,1,0,0,0
698377,0,0,0,0,3
698378,1,1,0,0,0
698379,1,1,0,0,2
698380,1,0,0,0,1
698381,1,1,0,0,0
698382,1,0,0,0,0
698383,1,2,0,0,19
698385,1,0,0,0,0
698386,1,3,0,0,0
698387,0,0,0,0,0
698389,2,0,0,0,0
698391,2,1,0,0,0
698392,1,1,0,0,0
698394,1,2,0,1,-3
698395,1,1,0,0,2
698396,1,3,0,1,0
698397,1,3,0,0,0
698398,1,1,0,0,0
698399,1,0,0,0,0
698400,1,2,0,0,0
698402,1,1,0,0,71
698406,1,2,0,1,7
698407,0,0,0,0,0
698408,1,1,0,0,0
698409,1,1,0,0,0
698410,1,0,0,0,0
698411,1,1,0,2,21
698412,1,1,0,0,0
698413,1,2,0,0,1
698414,1,1,0,0,0
698415,1,1,0,0,0
698416,1,0,1,0,0
698419,1,1,0,0,5
698420,1,1,0,0,2
698421,1,1,0,0,0
698422,2,0,0,0,0
698423,1,1,0,0,0
698424,1,1,0,0,6
698425,1,1,0,0,0
698426,1,1,0,1,0
698427,1,1,0,0,0
698430,1,1,0,0,13
698431,1,1,0,1,8
698432,1,1,0,0,0
698433,1,3,0,1,0
698437,0,1,0,0,0
698439,1,1,0,1,0
698440,1,1,0,0,0
698441,1,1,0,0,0
698442,1,1,0,0,0
698445,1,0,0,0,0
698446,1,1,0,3,0
698450,1,1,0,0,0
698451,1,1,0,0,12
698452,2,1,0,0,1
698455,1,2,0,0,0
698456,1,2,0,0,7
698457,1,1,0,1,0
698458,1,2,0,0,0
698460,1,1,0,0,0
698461,1,1,0,1,6
698462,1,1,0,0,0
698463,1,1,1,0,0
698464,1,2,0,0,0
698466,1,0,0,0,0
698467,1,0,0,1,5
698470,1,1,0,0,0
698471,1,1,0,0,0
698472,1,1,0,0,0
698473,1,1,0,0,0
698474,1,1,0,0,0
698477,1,1,0,0,0
698478,1,2,0,0,2
698479,1,2,0,0,25
698480,1,3,0,0,0
698481,1,1,0,0,0
698482,1,1,0,0,0
698485,1,1,0,0,5
698486,1,1,0,0,0
698487,1,1,0,0,0
698488,1,1,0,1,22
698489,1,1,0,2,0
698491,2,2,0,0,0
698494,1,2,0,0,0
698495,1,3,0,0,0
698496,1,1,0,0,2
698497,2,1,0,0,0
698498,0,2,0,0,0
698501,1,1,0,0,0
698503,2,1,0,0,2
698504,2,1,0,0,0
698505,1,1,1,0,0
698506,1,1,0,0,5
698507,1,2,0,0,8
698508,1,1,0,0,0
698509,2,2,0,2,0
698510,1,1,0,1,2
698511,1,2,0,0,0
698512,1,1,0,0,0
698513,1,1,0,0,0
698514,1,1,0,1,0
698515,2,2,0,2,0
698518,1,2,0,0,0
698519,1,1,0,0,0
698521,1,1,0,0,0
698523,1,1,0,0,0
698524,2,1,0,0,0
698526,1,1,0,0,11
698527,1,1,0,0,3
698528,1,2,0,1,1
698529,1,1,0,0,0
698532,1,3,0,0,0
698533,1,1,0,0,0
698534,2,0,0,0,0
698535,1,3,0,0,0
698536,1,1,0,0,10
698537,1,1,0,0,8
698539,2,1,0,0,0
698540,1,1,0,1,2
698541,1,1,0,0,0
698542,1,1,0,0,6
698543,1,1,0,0,9
698545,1,1,0,0,8
698546,1,1,0,0,0
698547,1,1,0,0,0
698549,1,1,0,0,0
698550,1,1,0,0,5
698551,1,1,0,0,0
698552,1,1,0,0,5
698553,1,1,0,0,0
698555,2,1,0,0,0
698557,1,1,0,0,0
698558,1,1,0,1,6
698559,1,1,0,0,0
698560,2,2,0,0,0
698563,1,3,0,0,0
698564,0,3,0,0,3
698565,1,0,0,0,0
698567,1,2,0,0,0
698568,1,2,0,1,0
698569,1,2,0,0,0
698570,1,1,0,0,0
698571,1,1,0,0,2
698572,1,1,0,0,0
698573,1,1,0,0,0
698574,1,1,1,0,0
698577,1,1,0,0,24
698578,1,1,0,0,9
698579,1,1,0,0,0
698580,1,3,0,0,0
698581,1,2,0,0,3
698582,0,1,0,0,7
